Unidade Orçamentária ,GRUPO DE DESPESA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Dotação atualizada 2020*
Total Ministério da Defesa,Juros e Encargos da Dívida,322.4,390.1,632.1,460.7,411.2,1318.6,338.0,178.3,56.5,330.6,103.8,226.3,234.7,318.9,386.8,402.3,335.3,373.0,469.0,497.0,828.2
Total Ministério da Defesa,Outras Despesas Correntes,2493.5,2983.5,2665.2,2793.8,3520.4,4214.0,4197.3,4735.1,5533.5,6282.5,7304.2,8088.5,8206.7,9376.8,11196.8,10676.6,11448.1,12019.7,13079.7,13976.9,14302.1
Total Ministério da Defesa,Investimentos,1716.3,1947.8,1686.4,878.8,1549.1,1917.5,1757.7,2669.1,3406.7,4798.4,8241.3,6529.5,10033.7,8956.7,8258.2,7239.9,6949.1,8518.4,9104.9,7878.5,7131.6
Total Ministério da Defesa,Inversões Financeiras,0.1,20.5,2.0,12.4,1.8,2.8,51.2,609.2,81.0,4.0,3.5,3.6,18.7,5.7,97.7,301.6,129.8,258.8,2890.0,7162.8,80.0
Total Ministério da Defesa,Amortização da Dívida,1044.2,1428.1,1857.5,520.7,418.3,711.9,714.9,841.1,215.0,171.5,150.6,366.1,614.1,961.0,1342.9,1686.9,1289.8,1210.1,1375.9,1380.2,1818.8
Administração Direta,Pessoal e Encargos Sociais,38.1,34.9,28.7,38.8,186.1,198.0,293.3,34.3,38.6,41.6,45.5,61.3,60.4,69.5,80.2,86.4,86.5,85.4,87.6,91.4,113.9
Administração Direta,Juros e Encargos da Dívida,29.6,42.0,234.4,349.1,335.7,290.1,240.8,101.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Administração Direta,Outras Despesas Correntes,50.6,59.8,73.0,54.8,151.9,221.6,260.5,249.1,373.0,408.2,798.8,725.0,521.3,658.5,903.0,760.0,967.3,531.8,969.2,877.7,1216.3
Administração Direta,Investimentos,600.3,383.7,329.3,124.9,152.2,646.4,216.4,366.5,275.8,455.0,991.8,438.5,1287.1,1180.6,1390.1,977.1,1043.6,819.1,1030.1,855.0,1053.3
Administração Direta,Inversões Financeiras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.1,78.0,0.0,0.0,0.0,0.0,0.0,94.2,296.3,117.8,38.8,0.0,0.0,0.0
Administração Direta,Amortização da Dívida,111.8,200.5,160.4,51.6,50.6,239.5,410.3,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 Comando da Aeronáutica,Pessoal e Encargos Sociais,3177.0,4031.5,4554.8,4636.5,4951.0,5402.1,6342.6,6957.0,8034.9,8960.6,9931.6,10798.5,10886.7,11834.3,12900.3,14239.6,14841.3,16267.3,17464.2,18606.8,19415.7
 Comando da Aeronáutica,Juros e Encargos da Dívida,65.0,116.4,273.5,67.5,42.5,1004.5,80.2,66.7,51.0,274.0,54.7,122.3,95.7,134.8,168.6,188.3,166.8,208.7,275.6,312.6,513.6
 Comando da Aeronáutica,Outras Despesas Correntes,508.8,672.1,585.8,587.3,724.4,818.4,775.3,1095.3,1168.0,1164.1,1231.8,1391.0,1480.9,1657.7,1783.1,1565.9,1590.9,1284.5,1609.7,1642.2,1482.0
 Comando da Aeronáutica,Investimentos,125.1,780.1,622.9,339.5,760.8,665.7,658.0,951.2,1249.4,1582.3,1509.7,1176.8,1902.5,1794.6,1633.5,2662.7,2168.8,2462.2,2339.2,2425.0,1954.6
 Comando da Aeronáutica,Inversões Financeiras,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,25.1
 Comando da Aeronáutica,Amortização da Dívida,138.8,187.0,297.2,152.5,130.5,298.7,205.6,484.7,179.0,154.8,147.8,197.8,260.5,371.6,514.6,608.1,395.0,401.6,524.7,567.4,657.7
 Comando do Exército,Pessoal e Encargos Sociais,8003.2,9884.3,11176.8,11025.3,11761.1,12954.1,14701.5,15948.2,18152.9,20127.2,22252.8,23482.6,23813.8,25587.2,27699.5,30637.8,32052.3,35266.9,37864.4,40390.3,42245.4
